Timestamp;Age;Gender;Nationality;cinnamon and raw;eagle and vertebrate;igloo and snow;wonder and unreal;soup and foodmaking;cave and rock;ghost and white;llama and vertebrate;igloo and north;pine and north;ant and hell;werewolf and runners;idea and unreal;devil and scary;idea and theoretical;cinnamon and edible;kitchen and witchcraft;cinnamon and sweet;igloo and melting;cave and underground;idea and think;ant and small;devil and Ramsay;cave and enemy;pine and plant;ghost and undead;ant and enemy;cinnamon and ingredients;eagle and bird;ghost and bald;eagle and animal;pine and alive;cinnamon and milk;cinnamon and idiot;werewolf and animal
2018/05/26 2:59:46 pm EET;25;Female;Polish;4;2;2;3;4;4;4;6;3;5;10;5;3;4;4;3;10;3;5;4;4;NA;10;10;4;10;10;3;4;10;6;6;10;10;3
2018/05/26 3:06:49 pm EET;22;Female;Algerian and French ;5;4;1;4;2;4;1;2;3;4;5;7;5;4;5;4;7;1;4;1;1;4;6;10;4;8;6;2;3;8;2;4;2;10;2
2018/05/26 3:40:55 pm EET;21;Female;Hungarian;3;1;2;4;1;2;2;1;1;2;7;3;4;3;1;3;1;5;3;5;1;2;6;6;1;3;4;1;1;3;1;3;4;8;3
2018/05/26 4:06:51 pm EET;22;Female;Latvian;3;3;2;2;2;4;5;3;4;4;10;6;3;4;4;3;3;4;4;2;2;4;10;5;2;4;6;2;1;10;1;4;10;5;4
2018/05/26 5:27:46 pm EET;22;Female;Hungarian;5;3;1;2;3;2;1;3;1;4;9;7;6;2;2;5;4;3;4;2;1;2;7;7;2;7;8;1;1;8;2;4;3;10;3
2018/05/26 5:34:26 pm EET;19;Male;Hungarian;4;2;3;6;4;2;4;1;3;6;10;5;4;5;2;2;9;5;4;3;3;2;7;4;3;2;9;3;2;10;4;1;8;10;2
2018/05/26 5:56:50 pm EET;26;Female;French;2;3;2;5;3;2;2;3;2;5;10;8;2;3;2;2;7;3;3;3;2;3;9;10;3;2;8;2;2;9;2;4;5;10;4
2018/05/26 6:17:08 pm EET;39;Male;Danish;2;1;1;4;1;3;3;3;3;4;10;5;6;2;7;3;10;4;4;4;1;5;10;10;3;10;10;2;1;10;1;3;7;10;4
2018/05/26 6:43:05 pm EET;20;Female;Austria;2;3;2;3;2;3;2;5;2;9;9;6;2;2;4;3;3;5;2;3;2;2;8;9;2;9;5;2;2;2;2;2;4;9;3
2018/05/26 7:06:24 pm EET;56;Female;Dutch;8;1;2;2;1;2;5;3;1;9;10;8;5;3;1;1;10;3;3;2;1;1;10;10;1;10;8;3;1;10;1;2;10;9;2
2018/05/26 7:13:35 pm EET;30;Female;ukraine;7;3;1;6;1;1;1;2;1;6;10;4;6;6;1;1;3;1;6;1;1;1;10;6;1;1;10;1;1;10;1;1;1;10;1
2018/05/26 9:58:33 pm EET;27;Male;dutch;4;2;2;3;1;4;2;3;6;6;10;6;3;6;2;5;10;2;4;2;2;4;10;10;1;5;10;5;1;10;1;6;10;10;4
2018/05/27 10:47:02 am EET;23;Female;Polish ;3;4;2;6;2;3;4;4;3;3;4;6;4;2;3;3;9;3;3;3;3;2;8;8;2;4;8;2;2;7;2;5;2;9;4
2018/05/27 12:36:53 pm EET;21;Female;Polish;4;6;2;2;3;4;3;2;4;4;10;6;5;3;4;4;10;4;4;4;2;3;7;10;3;3;10;3;2;10;3;1;10;10;5
2018/05/27 1:07:24 pm EET;25;Female;Lithuanian;6;5;2;3;1;1;1;4;1;3;10;4;5;4;4;5;10;1;2;1;1;1;6;10;4;10;10;1;1;3;3;2;10;10;1
